GUID,UN LOCODE,Latitude,Longitude,Mile,Facility Type,Official Name,Port Name,Waterway Name
0V7A,WTN,33.766111,-118.26166,3,Dock,CATALINA FREIGHT LINE BERTH 185,Los Angeles CA,Los Angeles CA
0V5K,WTN,33.766667,-118.27388,3,Dock,TRANS PACIFIC CONTAINER SERVICE CORP. BERTHS 135 - 139,Los Angeles CA,Los Angeles CA
0VC4,LGB,33.766944,-118.22,3,Dock,CONNOLLY PACIFIC CO BERTHS D-38 39 & 40,Long Beach CA,Long Beach CA
0SZA,LGB,33.767222,-118.21777,,Dock,Cal Resources Berth No. D-41 Crewboat Dock.,Long Beach CA,Long Beach CA
0SZB,LGB,33.767222,-118.2175,,Dock,Cal Resources Berth No. D-41 Workboat Dock.,Long Beach CA,Long Beach CA
0SZT,LGB,33.767222,-118.21694,,Dock,Sause Bros. Ocean Towing Co. Berth No. D-42S.,Long Beach CA,Long Beach CA
0J8F,,33.767316,-80.654028,4,,SOUTHERN RAILWAY BRIDGE,Congaree River SC,Congaree River SC
0RL3,LGB,33.7675,-118.21833,3,Dock,L. G. EVERIST BERTH G - 44,Long Beach CA,Long Beach CA
0SZ9,LGB,33.7675,-118.21833,,Dock,L.G. Everist Berth No. D-41 North.,Long Beach CA,Long Beach CA
0V5L,WTN,33.767778,-118.27777,3,Dock,PORT OF LOS ANGELES BERTHS 134 & 135,Los Angeles CA,Los Angeles CA
0SZU,LGB,33.767778,-118.21694,,Dock,L.G. Everist Berth No. D-42S.,Long Beach CA,Long Beach CA
0RL4,LGB,33.76778,-118.21694,3,Dock,SAUSE BROS OCEAN TOWING CO BERTH D-42S,Long Beach CA,Long Beach CA
0V6N,WTN,33.768056,-118.25305,3,Dock,DISTRIBUTION & AUTO SERVICE BERTHS 195-199,Los Angeles CA,Los Angeles CA
0VCP,LGB,33.768333,-118.21777,3,Dock,MANSON CONST & ENGINEERING CO BERTHS D-42N & 43,Long Beach CA,Long Beach CA
