GUID,UN LOCODE,Latitude,Longitude,Mile,Facility Type,Official Name,Port Name,Waterway Name
058N,,-14.5,172,0,Dock,PAGO PAGO AMERICAN SAMOA,Pago Pago Harbor American Samoa Island AS,Pago Pago Harbor American Samoa Island AS
552,,-14.5,172,0,,AUASI SMALL BOAT HARBOR,Pago Pago Harbor American Samoa Island AS,Pago Pago Harbor American Samoa Island AS
058M,,-14.5,172,0,,AUNU'U SMALL BOAT HARBOR,Pago Pago Harbor American Samoa Island AS,Pago Pago Harbor American Samoa Island AS
550,,-14.5,172,0,,OFU HARBOR,Pago Pago Harbor American Samoa Island AS,Pago Pago Harbor American Samoa Island AS
551,,-14.5,172,0,,TA'U HARBOR,Pago Pago Harbor American Samoa Island AS,Pago Pago Harbor American Samoa Island AS
054Z,,-3.83333,-174,0,,CANTON ISLAND PHOENIX GROUP,Canton Is. Phoenix Group HI,Canton Is. Phoenix Group HI
00CS,,7.41667,-82.8,0,,CHARCO AZUL  (PUERTO ARMUELLES),Alaskan Trans-Shpmt Point-Puerto Armuellas Panama,Alaskan Trans-Shpmt Point-Puerto Armuellas Panama
00CT,,7.41667,-82.8,0,,SPECIAL USE CODE,Alaskan Trans-Shpmt Point-Puerto Armuellas Panama,Alaskan Trans-Shpmt Point-Puerto Armuellas Panama
00P3,,13.451433,144.635721,0,Dock,PORT APRA F-4 F-3,Apra Harbor Guam Island GU,Apra Harbor Guam Island GU
00P1,,13.451433,144.635721,0,Open Water,APRA HARBOR-OPEN WATER,Apra Harbor Guam Island GU,Apra Harbor Guam Island GU
00P2,,13.451433,144.635721,0,,COMMERICAL PIER,Apra Harbor Guam Island GU,Apra Harbor Guam Island GU
00CE,,13.451433,144.635721,0,,GUAM,Apra Harbor Guam Island GU,Apra Harbor Guam Island GU
00CD,,13.451433,144.635721,0,,PIER 40,Apra Harbor Guam Island GU,Apra Harbor Guam Island GU
0H8D,,17.693595,-64.762222,0,Dock,MARIETTA HARBOR  ST CROIX,Port Harvey St. Croix Island VI,Port Harvey St. Croix Island VI
0H8C,,17.695818,-64.753056,0,Dock,THIRD PORT NEW CONTAINER DOCK ST CROIX,Port Harvey St. Croix Island VI,Port Harvey St. Croix Island VI
0F15,,17.699984,-64.752778,0,Dock,PORT HESS,Port Hess St. Croix Island VI,Port Hess St. Croix Island VI
0F14,,17.700349,-64.75,0,Dock,HOVIC BERTHS 1-9,Port Hess St. Croix Island VI,Port Hess St. Croix Island VI
0H88,,17.714706,-64.884167,0,Dock,HARBOR DOCK     FREDERIKSTED,Frederiksted St. Croix Island VI,Frederiksted St. Croix Island VI
0H8F,,17.747571,-64.69842,0,Dock,HARBOR DOCK     CHRISTIANSTED,Christiansted St Croix VI,Christiansted St Croix VI
0MWV,,17.747849,-64.698976,0,Dock,GALLOWSBAY HARBOR DOCK,Christiansted St Croix VI,Christiansted St Croix VI
0H8G,,17.751651,-64.714444,0,Dock,V.I. WAPA     CHRISTIANSTED,Christiansted St Croix VI,Christiansted St Croix VI
0F1U,,17.822036,-67.296945,0,Dock,HARBOR DOCK     SALINAS,Salinas Bay PR,Salinas Bay PR
0B2Q,,17.822036,-67.296945,0,Dock,MOLASSES BERTH     AGUIRRE,Salinas Bay PR,Salinas Bay PR
0F1V,,17.822036,-67.296945,0,Dock,MUNICIPAL PIERS  AGUIRRE,Salinas Bay PR,Salinas Bay PR
0F1W,,17.822036,-67.296945,0,Dock,PRWRA BERTH     AGUIRRE,Salinas Bay PR,Salinas Bay PR
0B2R,,17.822036,-67.296945,0,,JOBOS     AGUIRRE,Salinas Bay PR,Salinas Bay PR
0F1M,,17.822038,-66.91628,0,Dock,HARBOR DOCK     GUANICA,Guanica PR,Guanica PR
0F1P,,17.822038,-66.91628,0,Dock,MOLINOS,Guanica PR,Guanica PR
0F1T,,17.822038,-66.91628,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Guanica PR,Guanica PR
0F1S,,17.822038,-66.91628,0,,ESSO TERMINAL,Guanica PR,Guanica PR
0F1R,,17.822038,-66.91628,0,,SUGAR DOCK - GUANICA,Guanica PR,Guanica PR
0F1N,,17.822038,-66.91628,0,,W R GRACE,Guanica PR,Guanica PR
0B4U,,17.822039,-66.779218,0,Dock,COMMONWEALTH OIL REFINING CO.,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4Q,,17.822039,-66.779218,0,Dock,CORCO BERTHS 1-5,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4T,,17.822039,-66.779218,0,Dock,PHILLIPS,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4R,,17.822039,-66.779218,0,Dock,PPG,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4S,,17.822039,-66.779218,0,Dock,PUNTA PIER,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4V,,17.822039,-66.779218,0,Dock,TEXACO TERMINAL,Guayanilla Harbor PR,Guayanilla Harbor PR
0F1L,,17.822039,-66.779218,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Guayanilla Harbor PR,Guayanilla Harbor PR
0F1J,,17.822039,-66.779218,0,,CAYO RIO DOCK,Guayanilla Harbor PR,Guayanilla Harbor PR
0F1K,,17.822039,-66.779218,0,,EFFLUENT CANAL DOCK,Guayanilla Harbor PR,Guayanilla Harbor PR
0B7Z,,17.822039,-66.779218,0,,HERCOR,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4P,,17.822039,-66.779218,0,,PTAGOTAY,Guayanilla Harbor PR,Guayanilla Harbor PR
0B3X,,17.822049,-66.049608,0,Dock,ARROYO HBR     PUERTO RICO,Arroyo Harbor PR,Arroyo Harbor PR
0B3Y,,17.822049,-66.049608,0,Dock,HARBOR DOCK     GUAYAMA,Las Mareas Harbor PR,Las Mareas Harbor PR
0B41,,17.822049,-66.049608,0,Dock,PHILLIPS DOCK     LAS MAREAS,Las Mareas Harbor PR,Las Mareas Harbor PR
0B3Z,,17.822049,-66.049608,0,Dock,PHILLIPS TERMINAL     GUAYAMA,Las Mareas Harbor PR,Las Mareas Harbor PR
0B40,,17.822049,-66.049608,0,,HARBOR DOCK     LAS MAREAS,Las Mareas Harbor PR,Las Mareas Harbor PR
0B4B,,17.831358,-66.716288,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Ponce PR,Ponce PR
0B4A,,17.831358,-66.716288,0,,E.I. DUPONT,Ponce PR,Ponce PR
0B47,,17.831358,-66.716288,0,,NATIONAL PACKING,Ponce PR,Ponce PR
0B44,,17.831358,-66.305502,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Jobos Harbor PR,Jobos Harbor PR
0B43,,17.831358,-66.305502,0,,MUNICIPAL DOCK,Jobos Harbor PR,Jobos Harbor PR
0B45,,17.967952,-66.620278,0,Dock,MUNICIPAL PIER 1 PONCE,Ponce PR,Ponce PR
0N5X,,17.968318,-66.620643,0,Dock,MUNICIPAL PIER 1A,Ponce PR,Ponce PR
0N5Y,,17.969429,-66.620365,0,Dock,MUNICIPAL PIER 2 PONCE,Ponce PR,Ponce PR
0B3U,,17.969855,-65.663404,0,Dock,HARBOR DOCK     YABUCOA,Yabucoa Harbor PR,Yabucoa Harbor PR
0B3W,,17.969855,-65.663404,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Yabucoa Harbor PR,Yabucoa Harbor PR
0B9N,,17.969855,-65.663404,0,,GUAYANES HBR     PUERTO RICO,Guayanes PR,Guayanes PR
0R80,,17.970174,-66.619167,0,Dock,MUNICIPAL PIER 3 PONCE,Ponce PR,Ponce PR
0B46,,17.97073,-66.6175,0,Dock,MUNICIPAL PIER 4 PONCE,Ponce PR,Ponce PR
0N5Z,,17.971095,-66.616389,0,Dock,MUNICIPAL PIER 5 & 6 PONCE,Ponce PR,Ponce PR
0N60,,17.972484,-66.615556,0,Dock,MUNICIPAL PIER 7 PONCE ,Ponce PR,Ponce PR
0B49,,17.973595,-66.617778,0,Dock,MUNICIPAL PIER 8 PONCE,Ponce PR,Ponce PR
0F1Q,,17.97596,-66.909699,0,Dock,OCHOA,Guanica PR,Guanica PR
0B4W,,17.976373,-66.758611,0,Dock,UNION CARBIDE,Guayanilla Harbor PR,Guayanilla Harbor PR
0MWT,,17.994706,-66.763333,0,Dock,BETTERROADS ASPHALT,Guayanilla Harbor PR,Guayanilla Harbor PR
0F17,,18,-68.16667,0,,MONA ISLAND     PUERTO RICO,Mona Island PR,Mona Island PR
0B4N,,18.006373,-66.764722,0,Dock,HARBOR DOCK     GUAYANILLA,Guayanilla Harbor PR,Guayanilla Harbor PR
0MWR,,18.01362,-66.614849,0,Dock,PONCE YACHTS (FOREIGN ONLY),Ponce PR,Ponce PR
0MWS,,18.031255,-66.794164,0,Dock,SOUTH P R TOWING,Guayanilla Harbor PR,Guayanilla Harbor PR
0B42,,18.04425,-66.79274,0,Dock,HARBOR DOCK     JOBOS,Jobos Harbor PR,Jobos Harbor PR
10ZW,,18.053689,-65.875494,0,Dock,BUCKEYE CARIBBEAN TERMINAL YABOCA PR,Yabucoa Harbor PR,Yabucoa Harbor PR
0B3V,,18.053689,-65.875494,0,Dock,SHELL CHEMICAL  YABUCOA,Yabucoa Harbor PR,Yabucoa Harbor PR
0B48,,18.063463,-66.725731,0,Dock,CORCO     PONCE,Ponce PR,Ponce PR
0B4C,,18.063463,-66.725731,0,Dock,HARBOR DOCK     TALLABOA BAY,Tallaboa Bay PR,Tallaboa Bay PR
0B9M,,18.114689,-65.632935,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Humacao PR,Humacao PR
0B9L,,18.114689,-65.632935,0,,HUMACAO     PUERTO RICO,Humacao PR,Humacao PR
0B9F,,18.162865,-65.750424,0,Dock,PUERTO RICO PORTS AUTHORITY,Vieques Island PR,Vieques Island PR
0B8U,,18.187085,-65.709126,0,Anchorage,PORT ENSENADA     HONDA PR,Port Ensenada Honda PR,Port Ensenada Honda PR
0B9E,,18.187085,-65.709126,0,Dock,HARBOR DOCK     VIEQUES ISLAND,Vieques Island PR,Vieques Island PR
0B9J,,18.187085,-65.709126,0,,BERTH 1/PIER 1,Vieques Island PR,Vieques Island PR
0B9G,,18.187085,-65.709126,0,,ESSO OIL TERMINAL,Vieques Island PR,Vieques Island PR
0B9K,,18.187085,-65.709126,0,,NAGUABO     PUERTO RICO,Naguabo PR,Naguabo PR
0B31,,18.198009,-67.333996,0,Dock,GRAIN DOCK,Mayaguez PR,Mayaguez PR
0B2S,,18.198009,-67.333996,0,Dock,HARBOR DOCK     MAYAGUEZ,Mayaguez PR,Mayaguez PR
0B2Z,,18.198009,-67.333996,0,Dock,PRWRA TERMINAL,Mayaguez PR,Mayaguez PR
0B32,,18.198009,-67.333996,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Mayaguez PR,Mayaguez PR
0B2W,,18.198009,-67.333996,0,,DEL MONTE,Mayaguez PR,Mayaguez PR
0B2X,,18.198009,-67.333996,0,,NEPTUNE,Mayaguez PR,Mayaguez PR
0B2Y,,18.198009,-67.333996,0,,TEXACO TERMINAL,Mayaguez PR,Mayaguez PR
0MWU,,18.206373,-67.153611,0,Open Water,MAYAGUEZ YACHTS (FOREIGN TRAFFIC ONLY),Mayaguez PR,Mayaguez PR
0B2U,,18.219367,-67.155151,0,Dock,BUMBLE BEE PIER,Mayaguez PR,Mayaguez PR
0B2T,,18.219367,-67.155151,0,Dock,PUBLIC PIER PR PORT AUTHORITY,Mayaguez PR,Mayaguez PR
0B30,,18.22742,-67.137919,0,Dock,FEDERACION  PECUARIA BULKHEAD,Mayaguez PR,Mayaguez PR
0B2V,,18.22742,-67.137919,0,Dock,STAR-KIST PIER,Mayaguez PR,Mayaguez PR
0B8S,,18.26839,-65.647544,0,Dock,ROOSEVELTS ROADS - NAVY DOCKS,Fajardo PR,Fajardo PR
0MWQ,,18.326667,-64.849063,0,Dock,RED HOOK DOCK,St. Thomas VI,St. Thomas VI
0MWM,,18.327721,-65.683632,0,Dock,EL CONQUISTADOR MARINA,Fajardo PR,Fajardo PR
0MWP,,18.330174,-64.960833,0,Dock,KRUM BAY HARBOR DOCK,St. Thomas VI,St. Thomas VI
0NUS,,18.331651,-64.795556,0,Dock,CRUZ BAY FERRY TERMINAL,St. John Island VI,St. John Island VI
0NUT,,18.332118,-64.794531,0,Dock,CREEK BULKHEAD,St. John Island VI,St. John Island VI
0B8Z,,18.332206,-64.793889,0,Dock,CRUZ BAY CUSTOMS DOCK,St. John Island VI,St. John Island VI
0QGB,,18.334706,-65.631198,0,Dock,MUNICIPAL PIER,Fajardo PR,Fajardo PR
0B96,,18.334896,-64.950365,0,Dock,CROWN BAY,St. Thomas VI,St. Thomas VI
0B95,,18.339618,-64.935556,0,Dock,CHARLOTTE AMALIE,St. Thomas VI,St. Thomas VI
0B92,,18.339896,-64.930469,0,Dock,HARBOR DOCK     ST THOMAS,St. Thomas VI,St. Thomas VI
10NE,,18.339896,-64.930469,0,Dock,YACHT HAVEN GRANDE,St. Thomas VI,St. Thomas VI
0MWN,,18.34023,-65.640899,0,Dock,PUERTO DEL REY MARINA,Fajardo PR,Fajardo PR
104C,,18.34389,-64.78642,0,Dock,NATIONAL PARK DOCK,St. John Island VI,St. John Island VI
102X,,18.347732,-64.739581,0,Dock,WESTIN ST. JOHN RESORT & VILLA GREAT CRUZ BAY,St. John Island VI,St. John Island VI
0B8Q,,18.360299,-65.497025,0,Dock,PUERTO REAL PRPA FERRY LANDING,Fajardo PR,Fajardo PR
0B8W,,18.360299,-65.497025,0,Dock,PUERTO RICO PORTS AUTHORITY (PRPA),Culebra Island PR,Culebra Island PR
0B8T,,18.360299,-65.497025,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Fajardo PR,Fajardo PR
0B8V,,18.360299,-65.497025,0,,HARBOR DOCK     CULEBRA ISLAND,Culebra Island PR,Culebra Island PR
0B8N,,18.360299,-65.497025,0,,HARBOR DOCK     FAJARDO,Fajardo PR,Fajardo PR
0B8R,,18.360299,-65.497025,0,,ISLETTA MARINA WATERFRONT,Fajardo PR,Fajardo PR
0B8P,,18.360299,-65.497025,0,,TOWN CUSTOMS DOCK,Fajardo PR,Fajardo PR
0B8A,,18.428101,-66.10112,0,Dock,MOLINOS     SAN JUAN,San Juan PR,San Juan PR
0B85,,18.42823,-66.108976,0,Dock,ARMY TERMINAL     SAN JUAN,San Juan PR,San Juan PR
0N5P,,18.428507,-66.106476,0,Dock,SHED A,San Juan PR,San Juan PR
0B8G,,18.429063,-66.111111,0,Dock,C. OIL DOCK,San Juan PR,San Juan PR
0N5Q,,18.429341,-66.105365,0,Dock,SHED B,San Juan PR,San Juan PR
0N5R,,18.430174,-66.103976,0,Dock,SHED C,San Juan PR,San Juan PR
0N5S,,18.431007,-66.1025,0,Dock,SHED D,San Juan PR,San Juan PR
0N5T,,18.431929,-66.10092,0,Dock,SHED E,San Juan PR,San Juan PR
0N5U,,18.432762,-66.099444,0,Dock,SHED F,San Juan PR,San Juan PR
0N5V,,18.433873,-66.097778,0,Dock,SHED G,San Juan PR,San Juan PR
0PJ0,,18.434706,-66.096389,0,Dock,SHED H,San Juan PR,San Juan PR
0N5W,,18.43554,-66.094913,0,Dock,M-N OPEN SPACE,San Juan PR,San Juan PR
0QX2,,18.436373,-66.093333,0,Dock,SHED J,San Juan PR,San Juan PR
0PCM,,18.437484,-66.091389,0,Dock,SHED K,San Juan PR,San Juan PR
0QX1,,18.438405,-66.089722,0,Dock,SHED L,San Juan PR,San Juan PR
0PCN,,18.439063,-66.087587,0,Dock,SHED M,San Juan PR,San Juan PR
0PCP,,18.439095,-66.087151,0,Dock,SHED O,San Juan PR,San Juan PR
0PUT,,18.44304,-66.112048,0,Open Water,SAN JUAN YACHTS (FOREIGN ONLY),San Juan PR,San Juan PR
0B80,,18.4473,-66.073619,0,Dock,MUNICIPAL PIER 14,San Juan PR,San Juan PR
0B82,,18.4473,-66.073619,0,Dock,NARY RAMP ISLA GRAND   SAN JUAN,San Juan PR,San Juan PR
0B88,,18.4473,-66.073619,0,Dock,NAUTICO YACHT CLUB,San Juan PR,San Juan PR
0B84,,18.4473,-66.073619,0,Dock,NAVY FRONTIER PIER   SAN JUAN,San Juan PR,San Juan PR
0B89,,18.4473,-66.073619,0,Dock,PAN AM     SAN JUAN,San Juan PR,San Juan PR
0NAZ,,18.448507,-66.087587,0,Dock,MUNICIPAL PIER 16,San Juan PR,San Juan PR
0NAY,,18.45376,-66.082832,0,Dock,MUNICIPAL PIER 15,San Juan PR,San Juan PR
0B8F,,18.454645,-66.064619,0,Dock,TRAILER MARINE TRANS - TMT,San Juan PR,San Juan PR
0NUR,,18.459127,-64.853134,0,Anchorage,CANEEL BAY ANCHORAGE,St. John Island VI,St. John Island VI
0NUU,,18.459127,-64.853134,0,Anchorage,CORAL HARBOR ANCHORAGE,St. John Island VI,St. John Island VI
0NUQ,,18.459127,-64.853134,0,Anchorage,LIND POINT ANCHORAGE,St. John Island VI,St. John Island VI
0B8Y,,18.459127,-64.853134,0,Dock,HARBOR DOCK   ST JOHN ISLAND V I,St. John Island VI,St. John Island VI
0B91,,18.459127,-64.853134,0,Virtual Dock,FOREIGN TRAFFIC ONLY,St. John Island VI,St. John Island VI
0R90,,18.459127,-64.853134,0,,ENIGHED POND MARINE FREIGHT FACILITY,St. John Island VI,St. John Island VI
0B90,,18.459127,-64.853134,0,,MUNICIPAL PIERS,St. John Island VI,St. John Island VI
10TW,,18.460704,-66.115439,1,Dock,USCG Station San Juan PR,San Juan PR,San Juan PR
10TX,,18.460704,-66.115439,,Dock,,San Juan PR,San Juan PR
10TY,,18.460704,-66.115439,,Dock,,San Juan PR,San Juan PR
10U4,,18.460704,-66.115439,,Dock,,San Juan PR,San Juan PR
10U5,,18.460704,-66.115439,,Dock,,San Juan PR,San Juan PR
10U6,,18.460704,-66.115439,,Dock,,San Juan PR,San Juan PR
0N5N,,18.461563,-66.098143,0,Dock,MUNICIPAL PIER 13,San Juan PR,San Juan PR
0N5L,,18.462396,-66.099444,0,Dock,MUNICIPAL PIER 11,San Juan PR,San Juan PR
0N5K,,18.462952,-66.103056,0,Dock,MUNICIPAL PIER 10,San Juan PR,San Juan PR
0N5C,,18.46323,-66.114063,0,Dock,MUNICIPAL PIER 1 SAN JUAN,San Juan PR,San Juan PR
0N5J,,18.46323,-66.105833,0,Dock,MUNICIPAL PIER 8 SAN JUAN,San Juan PR,San Juan PR
0N5D,,18.463507,-66.113507,0,Dock,MUNICIPAL PIER 2 SAN JUAN,San Juan PR,San Juan PR
0N5E,,18.463785,-66.112031,0,Dock,MUNICIPAL PIER 3 SAN JUAN,San Juan PR,San Juan PR
0N5G,,18.463873,-66.106111,0,Dock,MUNICIPAL PIER 6 SAN JUAN ,San Juan PR,San Juan PR
0DR9,,18.46564,-66.117189,0,Dock,MUNICIPAL PIER 4 SAN JUAN,San Juan PR,San Juan PR
0DRA,,18.46564,-66.117189,0,Dock,MUNICIPAL PIER 9 SAN JUAN ,San Juan PR,San Juan PR
0H87,,18.476957,-67.335627,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Aguadilla Bay PR,Aguadilla Bay PR
0H86,,18.476957,-67.335627,0,,AGUADILLA BAY     PUERTO RICO,Aguadilla Bay PR,Aguadilla Bay PR
0DR5,,18.480905,-66.700119,0,Dock,MUNICIPAL PIER     ARECIBO,Arecibo PR,Arecibo PR
0B8M,,18.560437,-66.171911,0,,MARTIN PENA CHANNEL PR,Martin Pena Channel PR,Martin Pena Channel PR
0DR4,,18.631324,-66.749621,0,,HARBOR DOCK    ARECIBO,Arecibo PR,Arecibo PR
0DR6,,18.631324,-66.749621,0,,PUERTO RICO CHEMICAL     ARECIBO,Arecibo PR,Arecibo PR
0DR7,,18.642954,-66.546127,0,,PALMAS ALTAS,Palmas Altas PR,Palmas Altas PR
0DR8,,18.664663,-66.166282,0,Anchorage,ANCHORAGE SAN JUAN HARBOR,San Juan PR,San Juan PR
0B87,,18.664663,-66.166282,0,Dock,CENTRAL SOYA,San Juan PR,San Juan PR
0B83,,18.664663,-66.166282,0,Dock,EDELCAR     SAN JUAN,San Juan PR,San Juan PR
0B8J,,18.664663,-66.166282,0,Dock,HIDECA DOCK     SAN JUAN,San Juan PR,San Juan PR
0NB0,,18.664663,-66.166282,0,Dock,MUNICIPAL PIER 17,San Juan PR,San Juan PR
0B86,,18.664663,-66.166282,0,Dock,PAD     SAN JUAN,San Juan PR,San Juan PR
0B8H,,18.664663,-66.166282,0,Dock,PRWRA DOCK     SAN JUAN,San Juan PR,San Juan PR
0B8C,,18.664663,-66.166282,0,Dock,PUERTO RICO DRYDOCK & TERMINALS  SAN JUAN,San Juan PR,San Juan PR
0B8D,,18.664663,-66.166282,0,Dock,SEALAND TERMINAL,San Juan PR,San Juan PR
0B8L,,18.664663,-66.166282,0,Virtual Dock,FOREIGN TRAFFIC ONLY,San Juan PR,San Juan PR
0B81,,18.664663,-66.166282,0,,MISNER MARINE CONSTRUCTION,San Juan PR,San Juan PR
0B8K,,18.664663,-66.166282,0,,MUELLE 10,San Juan PR,San Juan PR
0N5M,,18.664663,-66.166282,0,,MUNICIPAL PIER 12,San Juan PR,San Juan PR
0N5F,,18.664663,-66.166282,0,,MUNICIPAL PIER 5,San Juan PR,San Juan PR
0B8E,,18.664663,-66.166282,0,,NAVIERAS NPR INC.,San Juan PR,San Juan PR
054V,,19.085055,-155.548618,0,,DOCK,Honuapo Hawaii Is. HI,Honuapo Hawaii Is. HI
054W,,19.135052,-155.505019,0,,DOCK,Punaluu Harbor Hawaii Is. HI,Punaluu Harbor Hawaii Is. HI
054U,,19.21144,-155.90031,0,,DOCK,Hoopuloa Bay Hawaii Is. HI,Hoopuloa Bay Hawaii Is. HI
054T,,19.378085,-155.898611,0,,DOCK,Hookena Hawaii Is. HI,Hookena Hawaii Is. HI
054S,,19.422553,-155.912812,0,,DOCK,Honaunau HI,Honaunau HI
054R,,19.422553,-155.912812,0,,HONOKOHAU HBR,Honaunau HI,Honaunau HI
00P0,,19.448,167.5988,0,Dock,WAKE ISLAND,Wake Island Harbor Wake Island,Wake Island Harbor Wake Island
054Q,,19.47392,-155.922512,0,,DOCK,Kealakekua HI,Kealakekua HI
054P,,19.47392,-155.922512,0,,KEALAKEKUA BAY HARBOR,Kealakekua HI,Kealakekua HI
054N,KHH,19.561414,-155.965013,0,,KEAUHOU BAY HAWAII,Keauhou Bay Hawaii Is. HI,Keauhou Bay Hawaii Is. HI
054L,KHH,19.637789,-155.995814,0,Open Water,KAILUA BAY HAWAII,Kailua HI,Kailua HI
054M,KHH,19.637789,-155.995814,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Kailua HI,Kailua HI
0V5Q,KHH,19.642222,-155.99916,0,Dock,STATE OF HAWAII KONA PIER,Kailua HI,Kailua HI
108F,KHH,19.66807,-156.025123,0,Dock,HONOKOHAU MARINA & SMALL BOAT HARBOR,Kailua HI,Kailua HI
00SF,ITO,19.725571,-155.073031,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Hilo HI,Hilo HI
0UJY,ITO,19.73,-155.05611,0,Dock,STATE OF HAWAII HILO PIER 3,Hilo HI,Hilo HI
0UJZ,ITO,19.730302,-155.055363,0,Dock,STATE OF HAWAII HILO PIER 2,Hilo HI,Hilo HI
0ZKM,ITO,19.731111,-155.05416,0,Dock,STATE OF HAWAII  HILO PIER 1,Hilo HI,Hilo HI
054J,MUE,19.975276,-155.834118,0,,DOCK,Puako Bay Hawaii Is. HI,Puako Bay Hawaii Is. HI
0V5P,KWH,20.040174,-155.832151,0,Dock,STATE OF HAWAII KAWAIHAE PIER 2,Kawaihae Harbor HI,Kawaihae Harbor HI
0V59,KWH,20.041173,-155.833087,0,Dock,STATE OF HAWAII HAWAIHAE PIER 1,Kawaihae Harbor HI,Kawaihae Harbor HI
054B,,20.090824,-155.435524,0,,DOCK,Paauhau Hawaii Is. HI,Paauhau Hawaii Is. HI
054C,,20.102224,-155.470024,0,,DOCK,Honokaa HI,Honokaa HI
054F,,20.125264,-155.547521,0,,DOCK,Awaele Harbor Hawaii Is. HI,Awaele Harbor Hawaii Is. HI
054E,,20.125555,-155.58082,0,,DOCK,Kukuihaele Hawaii Is. HI,Kukuihaele Hawaii Is. HI
054G,,20.184162,-155.90301,0,,DOCK,Mahukona Hawaii Is. HI,Mahukona Hawaii Is. HI
00VC,KIH,20.512381,-156.598277,0,,KAHOOLAWE,Kahoolawe HI,Kahoolawe HI
0ZL3,LNY,20.7425,-156.88694,0,Dock,STATE OF HAWAII MANELE BAY EXCURSION PIERS,Manele Bay Small Boat Harbor Lanai,Manele Bay Small Boat Harbor Lanai
00VB,HNM,20.758468,-155.984405,0,,DOCK,Hana Harbor Maui HI,Hana Harbor Maui HI
00VA,KIH,20.780421,-156.46468,0,,DOCK,Kihei Maui HI,Kihei Maui HI
00VD,LNY,20.785082,-156.992294,0,,DOCK,Halepalaoa HI,Halepalaoa HI
0U62,LNY,20.786757,-156.990933,0,Dock,LANAI CO. KAUMALAPAU PIER,Kaumalapau Lanai HI,Kaumalapau Lanai HI
00V9,,20.79824,-156.51609,0,Dock,MAALAEA MAUI SMLL BOAT HBR ONLY-NO COMM,Maalaea Maui HI,Maalaea Maui HI
10V8,,20.79824,-156.51609,0,Dock,USCG STATION MAUI MAALAEA HARBOR HI,Maalaea Maui HI,Maalaea Maui HI
00V8,LHN,20.808739,-156.623875,0,,DOCK,Olowalu Maui HI,Olowalu Maui HI
0U61,LHN,20.871667,-156.67861,0,Dock,STATE OF HAWAII LAHAINA PIER,Lahaina Maui HI,Lahaina Maui HI
00V6,LHN,20.87807,-156.67649,0,Dock,LAHAINA MAUI SMLL BT HBR ONLY NO COMMERCE,Lahaina Maui HI,Lahaina Maui HI
00V5,LHN,20.888186,-156.687474,0,,DOCK,Mala Maui Anchorage For Explosives HI,Mala Maui Anchorage For Explosives HI
0YNH,OGG,20.894671,-156.465843,0,Dock,STATE OF HAWAII KAHULULI PIER 3,Kahului Maui HI,Kahului Maui HI
0U5Z,OGG,20.89497,-156.467371,0,Dock,STATE OF HAWAII KAHULUI PIER 2,Kahului Maui HI,Kahului Maui HI
058P,OGG,20.895401,-156.469979,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Kahului Maui HI,Kahului Maui HI
10Z4,,20.896154,-156.465058,0,,USCG STATION KAHULUI HI,Kahului Maui HI,Kahului Maui HI
0U60,OGG,20.897162,-156.466862,0,Dock,STATE OF HAWAII KAHULULI PIER 1,Kahului Maui HI,Kahului Maui HI
00JZ,LHN,20.9331,-156.69149,0,Dock,DOCK,Kaanapali Maui HI,Kaanapali Maui HI
00VJ,KUA,21.0446,-156.873886,0,,DOCK,Kamalo Harbor Molokai,Kamalo Harbor Molokai
00VH,KUA,21.064808,-156.904487,0,,DOCK,Island of Molokai Other Ports Palaau Molokai HI,Island of Molokai Other Ports Palaau Molokai HI
0U63,KUA,21.081951,-157.028504,0,Dock,STATE OF HAWAII KAUNAKAKAI PIER,Kaunakakai Molokai HI,Kaunakakai Molokai HI
00VF,,21.083762,-157.248586,0,,HALEOLONO,Haleolono Molokai HI,Haleolono Molokai HI
00VG,,21.089321,-157.192186,0,,DOCK,Kolo Molokai HI,Kolo Molokai HI
00VK,HNL,21.18167,-157.79445,0,Anchorage,KANEOHE OAHU - KAHANA,Island of Oahu HI Other Ports,Island of Oahu HI Other Ports
00VE,LUP,21.188204,-156.986384,0,,KALAUPAPA LANDING (INTERISLAND FREIGHT),Kalaupapa Harbor Molokai HI,Kalaupapa Harbor Molokai HI
054X,HNL,21.24131,-157.91446,0,Dock,JOHNSTON ISLAND,Johnston Is. HI,Johnston Is. HI
117,KPI,21.25105,-158.11215,0,,BARBERS POINT,Barbers Point Channel Oahu HI,Barbers Point Channel Oahu HI
